nome,cpf,idade,data,endereco,estado
Noah Da Rocha,934.065.271-16,13,2010-10-30,"vale de sales, 63
mangabeiras
39697-343 ribeiro / go",roraima
Caleb Ramos,023.495.786-74,10,2014-04-03,"praia julia moraes
pedreira padro lopes
86129629 rocha / pa",maranhão
Arthur Gabriel Pires,752.419.806-01,7,2017-06-27,"esplanada diogo porto, 116
graça
31153-561 da rosa / es",rio de janeiro
Luiz Henrique Duarte,391.270.654-99,16,2008-03-13,"avenida de castro, 49
universitário
38007-901 camargo / rj",Desconhecido
Ana Vitória Cassiano,840.317.965-01,13,2011-04-27,"estação maria fernanda farias, 262
vila jardim montanhes
22899061 silva do galho / rr",goiás
Dante Cirino,254.816.907-30,14,2010-05-10,"aeroporto de moreira, 63
heliopolis
00737849 das neves / ba",minas gerais
Manuela Vieira,890.651.237-68,19,2004-09-11,"morro sousa, 17
mirante
56585856 casa grande / go",amazonas
Dr. Rodrigo Viana,842.063.179-50,14,2010-06-21,"chácara aurora abreu, 406
vila bandeirantes
87167720 pastor de moraes / se",acre
,186.925.304-33,9,2015-03-17,"praça de fogaça, 382
granja de freitas
93499-924 cunha / ma",mato grosso
Kaique Moura,249.316.078-96,19,2005-09-01,"pátio campos, 3
flavio marques lisboa
19129539 da paz de goiás / mt",sergipe
Ryan Andrade,129.065.378-02,5,2019-07-16,"setor kevin andrade, 83
belmonte
17256-150 da mata das pedras / mt",distrito federal
Thiago Nogueira,819.603.542-05,16,2008-01-19,"aeroporto liz novaes, 381
eymard
41524-030 monteiro / ap",minas gerais
Rebeca Sá,586.170.943-20,16,2007-09-19,"largo kamilly jesus, 9
belmonte
71157538 fogaça / ap",Desconhecido
Emanuella Teixeira,162.497.850-94,14,2010-03-10,"vereda teixeira
vila trinta e um de março
30693-210 rodrigues de oliveira / pr",amazonas
Thomas Vargas,625.139.804-33,9,2014-10-14,"estação moraes, 33
jardim leblon
31092089 moraes de leão / ba",mato grosso
Ísis Casa Grande,312.958.674-19,9,,"travessa davi miguel vieira, 166
capitão eduardo
86296-121 dias / rn",goiás
Srta. Marcela Teixeira,842.063.175-26,13,2010-11-23,Endereço inválido,rio grande do norte
Anthony Gabriel Aparecida,014.329.857-79,15,2009-01-30,"avenida macedo, 85
vila novo são lucas
72096430 sales / pr",paraíba
Larissa Sousa,769.481.253-28,14,2010-06-16,Endereço inválido,são paulo
Emanuella Rios,683.950.271-68,12,2012-06-24,"lago almeida, 11
paquetá
16633-918 pires / rj",acre
Luara Câmara,124.675.398-73,11,,"rua thiago da paz, 104
alta tensão 1ª seção
94120150 gonçalves / rr",tocantins
João Felipe Sá,953.724.861-55,12,2012-05-20,"campo pastor, 10
heliopolis
81477487 cardoso / pi",pará
Murilo Pires,759.043.816-20,12,2012-08-01,"residencial garcia, 25
delta
26104-749 gonçalves / rn",Desconhecido
Francisco Sales,984.150.763-39,14,2010-09-01,"vale nascimento, 55
são paulo
71370579 rocha / ce",goiás
,943.516.270-34,8,2015-09-14,"rodovia nathan sá, 92
estrela do oriente
89046-381 albuquerque de goiás / se",pará
João Lucas Cavalcante,876.901.532-59,16,2007-11-08,"campo renan barbosa, 652
corumbiara
72350460 rocha / se",rio de janeiro
Ana Carolina Freitas,987.632.415-28,5,2019-07-24,"distrito cirino, 393
vila antena
70295-344 viana / ms",pará
Vitor Mendonça,712.486.093-87,8,2016-08-13,"recanto lima, 3
santa lúcia
43330-748 peixoto / ma",bahia
Liam Cirino,320.685.971-95,8,2015-12-07,"aeroporto ribeiro
aarão reis
94818285 pastor / ro",minas gerais
Henrique Alves,459.768.312-73,16,2008-01-10,"residencial albuquerque, 75
vila esplanada
79431654 da cunha / to",Desconhecido
Sr. Bento Ribeiro,954.183.762-09,8,2015-10-15,"residencial leão, 8
vila pilar
86550649 costa paulista / ac",santa catarina
Isabel Câmara,815.624.793-00,13,2011-02-07,"viela jesus, 639
vila oeste
44327227 vasconcelos / to",paraná
Henry Monteiro,853.674.209-74,17,2006-12-06,"viela pedro henrique gomes, 4
alta tensão 2ª seção
18581084 da costa de costa / go",Desconhecido
Evelyn Rodrigues,956.023.741-16,16,2007-11-24,"avenida fernanda câmara, 75
vila suzana primeira seção
91123-055 teixeira / mg",rio grande do sul
Nicole Correia,952.018.376-03,11,2013-01-31,"vereda sá, 8
vila nova cachoeirinha 2ª seção
38138045 da rocha das pedras / rr",rio grande do sul
Bárbara Aragão,206.751.498-94,19,2005-01-31,"avenida da cruz
grotinha
03830478 moreira grande / mg",maranhão
Srta. Ana Luiza Aparecida,513.298.074-05,16,,"via gael santos, 561
alto barroca
31040-110 gomes / rs",mato grosso
Manuela Andrade,679.310.428-40,7,2017-03-06,"rodovia pimenta, 42
engenho nogueira
24342-357 machado da mata / al",bahia
Eduardo Da Costa,652.718.340-26,5,2018-12-25,"residencial leonardo mendonça, 60
leonina
96368791 porto / mg",amazonas
Eduarda Leão,723.084.691-96,11,2013-08-11,"recanto benicio freitas, 1
ouro minas
48194496 moura / rj",são paulo
Henry Gabriel Macedo,763.028.514-08,5,2019-08-01,Endereço inválido,acre
Olívia Duarte,176.892.504-67,9,2014-12-05,Endereço inválido,pará
Dra. Eduarda Da Luz,761.859.034-66,16,2008-08-21,Endereço inválido,Desconhecido
Helena Vasconcelos,734.985.261-46,11,2012-09-23,"fazenda de machado
madre gertrudes
81550207 macedo / ro",goiás
José Duarte,048.563.219-51,14,2010-02-25,"viaduto de sales, 40
santa efigênia
16392682 casa grande das pedras / mg",alagoas
Davi Câmara,398.162.704-04,15,2008-12-11,Endereço inválido,Desconhecido
Dra. Sarah Guerra,380.761.954-20,7,2016-09-10,Endereço inválido,maranhão
Olivia Santos,186.702.934-04,16,2008-07-02,"lago joaquim cassiano, 55
colégio batista
76224089 cunha / pb",paraíba
Yuri Silva,813.724.069-13,5,2019-03-04,"fazenda de da costa, 80
califórnia
90183701 silveira / se",espírito santo
Pietro Da Cunha,302.185.769-86,19,2005-03-02,"via anthony pereira, 84
conjunto novo dom bosco
46328-088 farias / pb",maranhão
Sr. Valentim Rios,405.391.627-52,17,2007-02-01,"estação luiz gustavo fonseca, 64
santa rita de cássia
43350-884 carvalho / pi",goiás
Calebe Aparecida,874.063.129-03,18,2006-01-25,"lago de viana
monte são josé
46194368 castro / ro",Desconhecido
Luiz Otávio Rodrigues,530.824.917-23,5,2019-05-29,"residencial caldeira, 607
dona clara
73321-480 albuquerque / rs",rio de janeiro
Maria Luiza Da Cruz,498.327.506-10,17,2007-06-05,"rodovia thomas guerra, 957
solar do barreiro
52869-733 pereira de minas / es",distrito federal
Fernando Souza,714.986.205-58,8,2016-06-04,"estação de fonseca, 36
apolonia
31839390 albuquerque verde / pe",rondônia
Luiz Fernando Moraes,825.619.437-55,10,2013-12-01,"fazenda peixoto, 4
maria helena
99363563 cavalcanti / ce",roraima
Ana Carolina Moraes,793.652.481-91,17,2006-09-28,"praia porto, 3
gameleira
80589139 das neves / am",Desconhecido
Thiago Oliveira,697.048.215-49,12,2012-03-22,"favela leandro santos, 69
maria tereza
60255-694 da cruz de minas / ac",rio grande do sul
Eloá Araújo,740.316.295-16,17,2007-08-09,"chácara vieira, 38
padre eustáquio
78406938 rocha de albuquerque / ac",bahia
Maria Cardoso,932.567.041-07,13,2010-12-04,"aeroporto de pereira, 301
paraíso
98029840 porto / rj",santa catarina
Arthur Miguel Vargas,416.093.725-06,19,2005-04-04,"pátio de da rocha, 82
vila santo antônio
46247-181 campos do amparo / ma",mato grosso
Dra. Lara Da Conceição,163.789.452-09,8,2016-04-15,"largo cavalcanti, 39
prado
96218-464 casa grande de da paz / pi",distrito federal
,062.478.915-20,18,2006-04-29,"travessa fernandes, 938
aguas claras
49102770 garcia verde / rr",acre
Melissa Sá,079.841.625-49,14,2010-05-19,"vereda yuri silveira, 382
vila fumec
62481-487 pinto dos dourados / sp",sergipe
,903.827.456-47,11,2013-06-03,"feira de machado, 28
palmares
97416397 cavalcanti / pe",acre
Agatha Da Conceição,508.947.162-20,10,,"favela de rezende, 1
serra verde
86366-566 das neves / am",acre
Giovanna Sales,013.697.542-99,12,2012-09-04,"conjunto erick da costa, 4
andiroba
24472-054 almeida / ac",Desconhecido
Pedro Das Neves,916.520.387-95,14,2009-12-13,"esplanada de andrade, 40
vila suzana segunda seção
02635-867 oliveira da serra / pe",espírito santo
Dr. Dante Ferreira,972.456.038-47,15,2009-06-24,"rua de ramos, 59
diamante
12227-714 guerra / go",paraná
Srta. Giovanna Carvalho,310.459.782-05,6,2018-09-02,"rodovia peixoto, 91
coqueiros
55807968 silveira de minas / sp",amazonas
Ayla Almeida,062.831.954-15,7,2016-11-29,"área de vargas, 7
são sebastião
26210-708 siqueira do galho / ma",mato grosso
Vicente Cassiano,412.058.967-67,16,2007-12-06,"rua garcia
novo ouro preto
78447625 da mota / mg",são paulo
Dra. Maria Luísa Da Mata,921.786.405-67,5,2019-03-05,"campo heloisa sales, 92
graça
97896-269 viana / mg",paraíba
Gabriela Lopes,162.380.795-68,13,,"conjunto fernandes, 7
são joão batista
38257810 sousa / df",mato grosso
Arthur Da Paz,453.906.827-00,19,2005-07-21,"condomínio da mota, 96
parque são josé
11946-944 da luz do amparo / mt",mato grosso
Júlia Almeida,580.713.264-53,12,2012-01-09,"ladeira de macedo, 91
vila da luz
75725347 da paz de garcia / al",espírito santo
Sra. Alexia Silva,896.421.503-60,14,,"aeroporto helena correia, 2
ernesto nascimento
39870-836 brito alegre / se",mato grosso
Sophia Pinto,632.845.170-90,13,2010-11-23,"pátio andrade, 23
gutierrez
49914993 sousa de vargas / mt",minas gerais
,480.659.132-70,19,2005-03-25,"conjunto de carvalho, 64
caiçaras
19271527 da cruz de da cunha / al",alagoas
José Pedro Da Rocha,768.043.195-75,13,2010-11-10,"rodovia asafe rodrigues, 25
santa maria
39474-804 rocha / es",Desconhecido
,591.348.760-57,17,2007-05-31,"loteamento miguel nascimento, 3
palmeiras
05241520 cunha / ac",rio grande do sul
Eloá Novais,864.025.931-33,13,2010-12-17,"praia vieira, 753
pongelupe
16734474 câmara / sc",mato grosso
Dr. Gustavo Henrique Pereira,620.819.475-01,7,2017-05-22,"trecho de guerra, 85
jardim atlântico
25002-894 ribeiro do amparo / ba",mato grosso do sul
João Gabriel Da Rosa,269.530.478-10,10,,"vereda siqueira, 985
nossa senhora aparecida
63175-628 pastor de casa grande / ms",rio grande do sul
Beatriz Moura,603.921.854-15,16,,"esplanada isabella da rocha, 942
pedreira padro lopes
39210570 sampaio / df",rio grande do sul
Yago Cardoso,906.358.174-20,16,2008-05-04,"quadra de pinto, 1
barro preto
41017203 dias paulista / se",amazonas
,624.397.105-80,18,2005-11-18,"fazenda rezende
vila engenho nogueira
99059-626 andrade / pr",mato grosso do sul
João Miguel Pastor,160.745.392-43,11,2013-05-31,"esplanada luísa pimenta, 7
leonina
00736818 pacheco / es",amapá
Natália Porto,709.826.413-03,17,2007-02-06,"rua silva, 11
granja de freitas
37600225 borges / ac",distrito federal
,765.319.082-03,14,2009-12-28,"recanto da conceição, 9
jardim felicidade
00787-641 campos / ce",amapá
,124.076.598-30,8,2015-10-24,"largo sales, 3
serra
42084-709 da mata / to",amazonas
Vitória Guerra,217.980.534-97,12,2012-01-15,"campo rezende, 78
vila minaslandia
72124039 carvalho / ap",Desconhecido
Apollo Da Cruz,609.751.284-85,16,2007-10-01,"condomínio sabrina da paz, 12
são lucas
32695913 ribeiro / pi",Desconhecido
Mateus Almeida,205.391.876-40,14,2010-05-28,"viela de sales, 435
monsenhor messias
41634-301 cardoso / rs",amapá
Sr. Erick Teixeira,725.098.146-30,8,2015-12-04,"viaduto de almeida, 19
são gabriel
56450219 borges grande / am",amapá
João Miguel Da Conceição,704.398.625-74,10,2014-03-21,"vereda ribeiro, 41
santa cruz
68563236 macedo / pe",acre
Anthony Pastor,294.567.180-85,7,2016-09-15,"área de rodrigues
alípio de melo
50500-983 aragão / mg",roraima
Dr. Vitor Farias,360.172.895-86,19,2004-10-11,"vale de caldeira, 28
santa rosa
91974648 sales de viana / pa",pernambuco
,269.831.045-60,5,2019-05-31,"loteamento de martins, 374
maria virgínia
99423446 pacheco de da rocha / ma",rio grande do norte
Lorena Da Conceição,032.741.598-32,10,2014-07-17,"praia alves, 31
vila atila de paiva
95434642 aragão / am",espírito santo
Gabriel Caldeira,562.947.803-65,10,2014-01-02,"conjunto peixoto, 58
marçola
84320-659 nunes da serra / es",rondônia
Srta. Allana Das Neves,280.971.653-68,11,2012-11-27,"residencial de montenegro, 2
santa tereza
31225-373 sales / go",minas gerais
Dra. Heloisa Rodrigues,982.157.064-01,7,2016-10-03,"passarela joão vitor da cruz, 484
santa lúcia
49991424 fogaça / rn",tocantins
Manuela Azevedo,517.490.862-20,7,2016-12-15,"vale giovanna albuquerque, 582
bela vitoria
54464-143 campos / se",bahia
Benício Da Rocha,874.596.230-83,7,2017-05-04,"sítio de macedo, 20
capitão eduardo
18429203 guerra das flores / mg",amazonas
Isabela Vargas,182.054.763-90,9,2015-04-14,"praia danilo cirino, 57
maria virgínia
80261-040 correia / ac",rio grande do norte
Sr. Samuel Teixeira,510.437.826-80,19,2004-12-11,"sítio dante das neves, 2
diamante
32829489 garcia verde / pe",mato grosso do sul
Aylla Alves,029.371.854-79,7,2016-09-24,"morro marina jesus, 356
flavio de oliveira
67829-955 cirino / ma",alagoas
Dra. Ana Vitória Camargo,410.369.582-05,16,2007-10-17,Endereço inválido,rio de janeiro
Heloisa Jesus,758.031.496-75,14,2010-08-08,"estação de mendes
jardim são josé
14725613 almeida / rj",minas gerais
Arthur Barros,391.065.724-99,15,2009-04-07,"viela de pereira, 21
embaúbas
53844-863 novaes / pa",rondônia
Maria Julia Da Paz,026.983.147-96,13,2011-03-24,"lago de melo, 820
são tomaz
65774-238 monteiro / am",alagoas
Ana Liz Alves,349.615.280-05,5,2019-02-28,Endereço inválido,ceará
Brenda Casa Grande,123.754.869-19,10,2013-12-26,"núcleo sabrina gomes, 202
saudade
26864449 sousa de souza / ap",rio grande do norte
Gael Brito,138.265.940-70,6,2018-03-18,"conjunto alves
jardim montanhês
08686-706 da cruz grande / mt",Desconhecido
Beatriz Cirino,289.147.306-03,14,2010-01-10,"vila araújo, 1
estrela do oriente
90512-856 da mata / go",são paulo
Enzo Araújo,538.710.946-84,13,,"rodovia miguel dias, 24
ademar maldonado
61659-863 alves / ms",alagoas
Isabela Almeida,091.574.382-50,5,2019-07-03,"pátio de pimenta, 69
jardim alvorada
25142-336 caldeira da praia / ce",minas gerais
Luiza Silveira,237.048.159-50,6,2018-06-15,Endereço inválido,roraima
Maria Isis Sampaio,049.832.516-42,18,2006-05-01,"esplanada maria júlia alves, 21
vila do pombal
61725926 das neves / pi",alagoas
Theo Costa,193.850.264-70,18,2005-09-09,"alameda alexandre fogaça, 17
vila calafate
78010-419 lima / ba",amazonas
João Lucas Martins,986.240.153-24,9,2014-09-20,"residencial cavalcanti, 892
mangueiras
14269-211 da cunha / ma",rio grande do sul
Matheus Da Mata,193.642.057-07,7,2016-11-27,"praia de rodrigues
pilar
73464-820 da rocha dos dourados / df",Desconhecido
Dra. Maya Azevedo,579.613.248-28,6,2018-02-05,"vila pacheco, 983
vila bandeirantes
79449-065 marques / ap",mato grosso
Maria Julia Moura,923.701.456-25,17,2006-12-06,"vereda de cassiano, 49
universo
76056501 machado de azevedo / mt",mato grosso
Davi Lucas Montenegro,734.591.062-80,9,2014-11-04,"avenida alexandre nogueira, 35
ademar maldonado
01634-443 albuquerque / ma",alagoas
Eloah Teixeira,204.851.369-70,13,2011-03-16,"colônia fernandes
estrela
56766-501 viana / ms",paraíba
Eloah Costela,278.619.504-76,7,2017-02-25,"rua de ribeiro
tirol
35200-216 teixeira das pedras / al",bahia
Dr. Luan Abreu,086.432.597-56,16,2007-12-16,"aeroporto vieira, 26
flamengo
48967-362 pereira de goiás / sp",maranhão
Helena Da Conceição,408.926.715-30,19,2005-04-13,"jardim kaique sales, 6
suzana
96048-015 porto de aragão / se",acre
Davi Lucca Sales,280.943.761-04,16,2007-11-21,"feira de melo, 8
pousada santo antonio
55436-153 aragão / mt",roraima
Raquel Fogaça,721.384.569-19,18,2006-03-20,"condomínio de guerra, 88
vila madre gertrudes 1ª seção
94211647 ribeiro / pb",tocantins
,574.162.893-19,13,2011-02-26,"viela alves, 84
vila canto do sabiá
69580085 duarte / ro",ceará
Ísis Albuquerque,830.759.164-39,6,2018-08-10,"passarela da paz, 86
urca
02615-670 silva / ce",paraná
Ayla Farias,309.561.742-99,12,2012-07-07,"rua sarah garcia, 14
vila da amizade
84119-830 oliveira / am",rondônia
,143.850.279-60,9,2015-01-10,"viaduto theodoro cavalcanti, 35
vila jardim montanhes
92688231 cavalcanti de araújo / df",roraima
Olivia Viana,068.127.345-35,6,2017-12-12,"campo augusto peixoto, 71
conjunto jatoba
15439421 mendonça / ap",acre
Carolina Da Luz,824.610.397-04,10,2014-05-27,"vale castro, 70
pantanal
88222613 fonseca / pr",rio grande do sul
Rafaela Moraes,658.409.723-47,6,2018-02-17,"avenida de cardoso
esplanada
81772-508 aragão dos dourados / ro",goiás
Lucca Câmara,905.713.642-25,12,2012-05-15,Endereço inválido,são paulo
,465.720.931-07,6,2017-09-29,"praça theodoro fernandes
castelo
34903-010 da mata da mata / pr",são paulo
Anthony Martins,430.287.965-38,18,2006-07-19,"chácara ryan siqueira, 4
solimoes
98259-113 souza verde / pr",alagoas
Arthur Miguel Freitas,394.215.087-50,17,2007-07-21,"trevo da rocha, 62
grota
27237-887 gonçalves / mt",espírito santo
Sr. João Gabriel Teixeira,791.345.026-61,19,2005-08-06,"alameda da mota, 773
santa monica
08686170 teixeira do campo / rn",goiás
Jade Garcia,039.412.875-32,11,,"lagoa de andrade, 13
taquaril
78750-059 santos / pi",Desconhecido
Dr. Théo Campos,136.829.407-31,8,2016-03-27,"trevo costela, 18
santa rosa
28359345 moraes / pi",paraná
Maria Luiza Marques,162.097.835-03,13,2010-10-21,"parque cardoso, 42
engenho nogueira
50747465 sousa do norte / rn",roraima
Sr. Juan Vargas,617.403.285-07,13,2010-09-30,Endereço inválido,Desconhecido
Levi Nascimento,137.629.485-00,15,2009-06-04,"vila bernardo vieira, 61
barão homem de melo 1ª seção
05073-598 da paz / go",piauí
Apollo Rezende,124.853.906-06,19,2005-01-25,"setor de moraes, 6
vila da luz
15817-396 santos de novaes / pr",mato grosso do sul
Rafael Novaes,916.042.378-13,10,,"trecho freitas, 4
jatobá
03664014 cardoso verde / sp",piauí
Dra. Maria Luísa Da Conceição,615.279.048-49,5,2019-01-20,"campo aylla câmara, 521
vila das oliveiras
96245-251 martins / ro",minas gerais
Srta. Gabriela Ferreira,103.672.859-59,12,2011-12-20,"avenida de correia, 3
cdi jatoba
51239-586 da cruz / rj",pará
Raul Campos,723.964.851-64,8,2016-04-28,Endereço inválido,Desconhecido
Eloá Rodrigues,752.108.639-21,12,2012-08-24,"estação mendonça, 27
custodinha
45897783 lima / mg",rio de janeiro
Arthur Martins,841.967.203-31,10,2014-01-09,"vereda yasmin souza, 1
glória
21700812 oliveira / al",sergipe
Sr. Levi Duarte,230.471.568-08,9,2015-07-18,Endereço inválido,tocantins
Dra. Sara Siqueira,680.294.537-10,14,2010-03-02,"via de cardoso, 20
vila maria
96960609 oliveira / sc",pará
Larissa Nunes,761.054.932-07,6,2017-10-25,"viela de silva, 4
esplanada
87632530 da mata / rn",rio de janeiro
Ana Liz Castro,615.037.298-77,13,2011-02-16,"viela jesus, 41
bernadete
03498479 monteiro do sul / sp",são paulo
Luiza Fernandes,879.241.563-64,6,2017-11-09,"área stephany rocha, 80
gameleira
93753-180 carvalho de cassiano / go",pernambuco
Julia Brito,750.628.341-71,10,2014-02-10,"jardim novais, 906
nossa senhora do rosário
48397-997 sousa do norte / ba",amapá
Maria Laura Da Rosa,172.638.905-77,8,2016-02-08,"conjunto antônio andrade, 19
são joão
46464-794 cavalcanti das pedras / pr",pernambuco
Pedro Miguel Vasconcelos,862.017.349-96,12,,"distrito peixoto, 384
maria virgínia
80039-555 sousa / ac",rio grande do sul
Nicolas Vargas,285.071.639-12,14,2010-02-24,"aeroporto da rosa
santa helena
65274-782 ramos / ma",rio grande do norte
Heloísa Garcia,879.021.564-85,9,2015-07-02,"pátio de brito, 261
jardim alvorada
01970660 dias da serra / mg",paraná
Leonardo Macedo,829.156.374-82,16,2008-02-08,"passarela esther fernandes
paquetá
60284474 da luz de da cruz / pb",roraima
Dra. Alícia Da Mota,526.937.401-34,11,2013-04-05,"residencial de novaes, 83
nova granada
98088909 da mota / rj",bahia
Isabella Cavalcanti,302.641.587-17,11,2013-08-07,"praça thomas viana, 7
vila puc
83040796 teixeira de da conceição / ba",espírito santo
,298.604.531-60,6,,"esplanada campos, 393
novo das industrias
44113-370 vargas do oeste / rs",amapá
Maria Flor Machado,610.289.734-03,15,,"favela lopes, 77
nova floresta
72224-070 gomes da mata / rj",acre
Beatriz Marques,790.845.632-47,5,2018-09-12,Endereço inválido,acre
Luna Vasconcelos,092.186.374-87,6,2018-04-05,"viaduto de lima, 37
taquaril
29747-528 martins / es",rio grande do sul
Heloísa Barbosa,036.475.981-00,12,2012-07-16,"travessa daniela marques, 622
floramar
18572-958 caldeira do campo / rr",ceará
Davi Lucca Peixoto,907.213.568-77,13,2010-11-30,"viela de casa grande
vitoria
09938380 costa / to",distrito federal
Nina Rios,037.198.245-60,14,2010-07-25,"vila barbosa, 96
conjunto providencia
01044-266 albuquerque / rj",ceará
Joaquim Camargo,742.301.859-79,12,2012-02-07,"vereda enzo gabriel novaes, 502
grota
51387-738 câmara / ce",são paulo
Miguel Porto,275.934.068-65,16,2008-02-21,"pátio de correia, 77
mantiqueira
87154557 sá / es",maranhão
Vinícius Oliveira,728.063.194-04,8,2016-02-29,"quadra theodoro aparecida
vitoria
45217934 pimenta dos dourados / df",maranhão
Srta. Luna Correia,105.973.842-23,10,2013-11-08,"distrito maria luísa marques, 40
urca
71247535 andrade de costa / sc",acre
,964.578.023-38,6,2017-10-10,"viaduto otávio duarte, 61
marajó
08959-126 casa grande / rj",maranhão
Pedro Miguel Cavalcanti,740.968.325-29,7,2017-04-29,"aeroporto sá, 62
acaba mundo
65294-611 montenegro / pe",piauí
Antônio Mendonça,702.964.531-61,14,,"aeroporto de castro, 36
canadá
10895-423 vargas do norte / pa",rio de janeiro
Ana Laura Barbosa,514.738.960-10,16,,"setor lucas gabriel jesus, 90
mantiqueira
77338360 martins / ba",rondônia
Milena Nascimento,079.418.362-03,17,2007-08-21,"rua de costa, 82
belmonte
70676-996 albuquerque paulista / rs",goiás
Kevin Barros,374.609.582-47,18,2006-03-01,"avenida de borges, 55
carmo
53809-360 da luz / al",piauí
Rael Pires,986.420.571-49,12,2011-11-19,"largo garcia
granja de freitas
57815-911 pinto / ro",minas gerais
Daniela Garcia,765.120.984-20,19,2005-06-11,"vila luigi da cunha, 63
aparecida
73883085 gomes da serra / pr",espírito santo
Luigi Caldeira,970.861.345-20,17,2007-03-10,"via sousa
santa sofia
70599052 monteiro / pi",maranhão
Thomas Moura,784.036.915-48,19,2004-12-06,"estação pacheco, 65
vila são dimas
51372-563 da conceição do amparo / mg",mato grosso do sul
Clarice Cassiano,137.865.409-93,7,2016-11-28,"quadra de andrade, 340
barroca
86683400 alves / ac",rio grande do norte
Maya Vargas,062.145.789-20,15,2009-05-12,Endereço inválido,tocantins
Dante Rocha,827.194.063-50,14,2010-01-24,Endereço inválido,Desconhecido
Sra. Letícia Gomes,257.348.910-88,18,2006-01-22,"vereda bruna vargas, 99
santa isabel
34724-620 rodrigues / pa",distrito federal
Léo Guerra,610.932.578-30,10,2014-03-26,"via de caldeira, 56
novo aarão reis
46963542 silveira / ac",paraná
Renan Siqueira,731.269.408-03,10,2014-01-13,"setor aparecida, 8
vila engenho nogueira
76391-415 da luz / pb",rio grande do norte
Srta. Amanda Rezende,857.026.431-35,14,2010-08-31,"lagoa laís teixeira, 95
copacabana
47366183 barros do campo / rj",tocantins
Bento Abreu,958.326.401-60,10,2014-02-15,"via silveira
lindéia
41706221 da cunha / pr",alagoas
Dr. Augusto Machado,461.837.052-17,17,2007-06-25,"alameda garcia, 49
araguaia
28726287 caldeira / ba",Desconhecido
