nome,cpf,idade,data,endereco,bairro,estado
Anthony Gabriel Aparecida,014.***.*** - 79,0.0,2009-01-30,"avenida macedo, 85
vila novo são lucas
72096430 sales / pr",vila novo são lucas,PR
Larissa Sousa,769.***.*** - 28,0.0,2010-06-16,Endereço inválido,Desconhecido,Desconhecido
Emanuella Rios,683.***.*** - 68,0.0,2012-06-24,"lago almeida, 11
paquetá
16633-918 pires / rj",paquetá,RJ
Luara Câmara,124.***.*** - 73,0.0,,"rua thiago da paz, 104
alta tensão 1ª seção
94120150 gonçalves / rr",alta tensão 1ª seção,RR
João Felipe Sá,953.***.*** - 55,0.0,2012-05-20,"campo pastor, 10
heliopolis
81477487 cardoso / pi",heliopolis,PI
Murilo Pires,759.***.*** - 20,0.0,2012-08-01,"residencial garcia, 25
delta
26104-749 gonçalves / rn",delta,RN
Francisco Sales,984.***.*** - 39,0.0,2010-09-01,"vale nascimento, 55
são paulo
71370579 rocha / ce",são paulo,CE
,943.***.*** - 34,-1.0,2015-09-14,Desconhecido,estrela do oriente,SE
João Lucas Cavalcante,876.***.*** - 59,-1.0,2007-11-08,"campo renan barbosa, 652
corumbiara
72350460 rocha / se",corumbiara,SE
Ana Carolina Freitas,987.***.*** - 28,0.0,2019-07-24,"distrito cirino, 393
vila antena
70295-344 viana / ms",vila antena,MS
Vitor Mendonça,712.***.*** - 87,0.0,2016-08-13,"recanto lima, 3
santa lúcia
43330-748 peixoto / ma",santa lúcia,MA
Liam Cirino,320.***.*** - 95,-1.0,2015-12-07,"aeroporto ribeiro
aarão reis
94818285 pastor / ro",aarão reis,RO
Henrique Alves,459.***.*** - 73,0.0,2008-01-10,"residencial albuquerque, 75
vila esplanada
79431654 da cunha / to",vila esplanada,TO
Sr. Bento Ribeiro,954.***.*** - 09,-1.0,2015-10-15,"residencial leão, 8
vila pilar
86550649 costa paulista / ac",vila pilar,AC
Isabel Câmara,815.***.*** - 00,0.0,2011-02-07,"viela jesus, 639
vila oeste
44327227 vasconcelos / to",vila oeste,TO
Henry Monteiro,853.***.*** - 74,0.0,2006-12-06,Desconhecido,alta tensão 2ª seção,GO
Evelyn Rodrigues,956.***.*** - 16,-1.0,2007-11-24,Desconhecido,vila suzana primeira seção,MG
Nicole Correia,952.***.*** - 03,0.0,2013-01-31,Desconhecido,vila nova cachoeirinha 2ª seção,RR
Bárbara Aragão,206.***.*** - 94,0.0,2005-01-31,"avenida da cruz
grotinha
03830478 moreira grande / mg",grotinha,MG
Srta. Ana Luiza Aparecida,513.***.*** - 05,0.0,,"via gael santos, 561
alto barroca
31040-110 gomes / rs",alto barroca,RS
Manuela Andrade,679.***.*** - 40,0.0,2017-03-06,"rodovia pimenta, 42
engenho nogueira
24342-357 machado da mata / al",engenho nogueira,AL
Eduardo Da Costa,652.***.*** - 26,-1.0,2018-12-25,"residencial leonardo mendonça, 60
leonina
96368791 porto / mg",leonina,MG
Eduarda Leão,723.***.*** - 96,0.0,2013-08-11,"recanto benicio freitas, 1
ouro minas
48194496 moura / rj",ouro minas,RJ
Henry Gabriel Macedo,763.***.*** - 08,0.0,2019-08-01,Endereço inválido,Desconhecido,Desconhecido
Olívia Duarte,176.***.*** - 67,0.0,2014-12-05,Endereço inválido,Desconhecido,Desconhecido
Dra. Eduarda Da Luz,761.***.*** - 66,0.0,2008-08-21,Endereço inválido,Desconhecido,Desconhecido
Helena Vasconcelos,734.***.*** - 46,-1.0,2012-09-23,"fazenda de machado
madre gertrudes
81550207 macedo / ro",madre gertrudes,RO
José Duarte,048.***.*** - 51,0.0,2010-02-25,Desconhecido,santa efigênia,MG
Davi Câmara,398.***.*** - 04,-1.0,2008-12-11,Endereço inválido,Desconhecido,Desconhecido
Dra. Sarah Guerra,380.***.*** - 20,-1.0,2016-09-10,Endereço inválido,Desconhecido,Desconhecido
Olivia Santos,186.***.*** - 04,0.0,2008-07-02,"lago joaquim cassiano, 55
colégio batista
76224089 cunha / pb",colégio batista,PB
Yuri Silva,813.***.*** - 13,0.0,2019-03-04,"fazenda de da costa, 80
califórnia
90183701 silveira / se",califórnia,SE
Pietro Da Cunha,302.***.*** - 86,0.0,2005-03-02,"via anthony pereira, 84
conjunto novo dom bosco
46328-088 farias / pb",conjunto novo dom bosco,PB
Sr. Valentim Rios,405.***.*** - 52,0.0,2007-02-01,Desconhecido,santa rita de cássia,PI
Calebe Aparecida,874.***.*** - 03,0.0,2006-01-25,"lago de viana
monte são josé
46194368 castro / ro",monte são josé,RO
Luiz Otávio Rodrigues,530.***.*** - 23,0.0,2019-05-29,"residencial caldeira, 607
dona clara
73321-480 albuquerque / rs",dona clara,RS
Maria Luiza Da Cruz,498.***.*** - 10,0.0,2007-06-05,Desconhecido,solar do barreiro,ES
Fernando Souza,714.***.*** - 58,0.0,2016-06-04,"estação de fonseca, 36
apolonia
31839390 albuquerque verde / pe",apolonia,PE
Luiz Fernando Moraes,825.***.*** - 55,0.0,2013-12-01,"fazenda peixoto, 4
maria helena
99363563 cavalcanti / ce",maria helena,CE
Ana Carolina Moraes,793.***.*** - 91,-1.0,2006-09-28,"praia porto, 3
gameleira
80589139 das neves / am",gameleira,AM
Thiago Oliveira,697.***.*** - 49,0.0,2012-03-22,"favela leandro santos, 69
maria tereza
60255-694 da cruz de minas / ac",maria tereza,AC
Eloá Araújo,740.***.*** - 16,0.0,2007-08-09,"chácara vieira, 38
padre eustáquio
78406938 rocha de albuquerque / ac",padre eustáquio,AC
Maria Cardoso,932.***.*** - 07,0.0,2010-12-04,"aeroporto de pereira, 301
paraíso
98029840 porto / rj",paraíso,RJ
Arthur Miguel Vargas,416.***.*** - 06,0.0,2005-04-04,Desconhecido,vila santo antônio,MA
Dra. Lara Da Conceição,163.***.*** - 09,0.0,2016-04-15,"largo cavalcanti, 39
prado
96218-464 casa grande de da paz / pi",prado,PI
,062.***.*** - 20,0.0,2006-04-29,"travessa fernandes, 938
aguas claras
49102770 garcia verde / rr",aguas claras,RR
Melissa Sá,079.***.*** - 49,0.0,2010-05-19,"vereda yuri silveira, 382
vila fumec
62481-487 pinto dos dourados / sp",vila fumec,SP
,903.***.*** - 47,0.0,2013-06-03,"feira de machado, 28
palmares
97416397 cavalcanti / pe",palmares,PE
Agatha Da Conceição,508.***.*** - 20,0.0,,"favela de rezende, 1
serra verde
86366-566 das neves / am",serra verde,AM
Giovanna Sales,013.***.*** - 99,0.0,2012-09-04,"conjunto erick da costa, 4
andiroba
24472-054 almeida / ac",andiroba,AC
Pedro Das Neves,916.***.*** - 95,-1.0,2009-12-13,Desconhecido,vila suzana segunda seção,PE
Dr. Dante Ferreira,972.***.*** - 47,0.0,2009-06-24,"rua de ramos, 59
diamante
12227-714 guerra / go",diamante,GO
Srta. Giovanna Carvalho,310.***.*** - 05,0.0,2018-09-02,"rodovia peixoto, 91
coqueiros
55807968 silveira de minas / sp",coqueiros,SP
Ayla Almeida,062.***.*** - 15,-1.0,2016-11-29,"área de vargas, 7
são sebastião
26210-708 siqueira do galho / ma",são sebastião,MA
Vicente Cassiano,412.***.*** - 67,0.0,2007-12-06,"rua garcia
novo ouro preto
78447625 da mota / mg",novo ouro preto,MG
Dra. Maria Luísa Da Mata,921.***.*** - 67,0.0,2019-03-05,"campo heloisa sales, 92
graça
97896-269 viana / mg",graça,MG
Gabriela Lopes,162.***.*** - 68,0.0,,"conjunto fernandes, 7
são joão batista
38257810 sousa / df",são joão batista,DF
Arthur Da Paz,453.***.*** - 00,0.0,2005-07-21,"condomínio da mota, 96
parque são josé
11946-944 da luz do amparo / mt",parque são josé,MT
Júlia Almeida,580.***.*** - 53,0.0,2012-01-09,"ladeira de macedo, 91
vila da luz
75725347 da paz de garcia / al",vila da luz,AL
Sra. Alexia Silva,896.***.*** - 60,0.0,,Desconhecido,ernesto nascimento,SE
Sophia Pinto,632.***.*** - 90,-1.0,2010-11-23,"pátio andrade, 23
gutierrez
49914993 sousa de vargas / mt",gutierrez,MT
,480.***.*** - 70,0.0,2005-03-25,"conjunto de carvalho, 64
caiçaras
19271527 da cruz de da cunha / al",caiçaras,AL
José Pedro Da Rocha,768.***.*** - 75,-1.0,2010-11-10,"rodovia asafe rodrigues, 25
santa maria
39474-804 rocha / es",santa maria,ES
,591.***.*** - 57,0.0,2007-05-31,"loteamento miguel nascimento, 3
palmeiras
05241520 cunha / ac",palmeiras,AC
Eloá Novais,864.***.*** - 33,-1.0,2010-12-17,"praia vieira, 753
pongelupe
16734474 câmara / sc",pongelupe,SC
Dr. Gustavo Henrique Pereira,620.***.*** - 01,0.0,2017-05-22,"trecho de guerra, 85
jardim atlântico
25002-894 ribeiro do amparo / ba",jardim atlântico,BA
João Gabriel Da Rosa,269.***.*** - 10,0.0,,Desconhecido,nossa senhora aparecida,MS
Beatriz Moura,603.***.*** - 15,0.0,,Desconhecido,pedreira padro lopes,DF
Yago Cardoso,906.***.*** - 20,0.0,2008-05-04,"quadra de pinto, 1
barro preto
41017203 dias paulista / se",barro preto,SE
,624.***.*** - 80,-1.0,2005-11-18,"fazenda rezende
vila engenho nogueira
99059-626 andrade / pr",vila engenho nogueira,PR
João Miguel Pastor,160.***.*** - 43,0.0,2013-05-31,"esplanada luísa pimenta, 7
leonina
00736818 pacheco / es",leonina,ES
Natália Porto,709.***.*** - 03,0.0,2007-02-06,"rua silva, 11
granja de freitas
37600225 borges / ac",granja de freitas,AC
,765.***.*** - 03,-1.0,2009-12-28,"recanto da conceição, 9
jardim felicidade
00787-641 campos / ce",jardim felicidade,CE
,124.***.*** - 30,-1.0,2015-10-24,"largo sales, 3
serra
42084-709 da mata / to",serra,TO
Vitória Guerra,217.***.*** - 97,0.0,2012-01-15,"campo rezende, 78
vila minaslandia
72124039 carvalho / ap",vila minaslandia,AP
Apollo Da Cruz,609.***.*** - 85,0.0,2007-10-01,"condomínio sabrina da paz, 12
são lucas
32695913 ribeiro / pi",são lucas,PI
Mateus Almeida,205.***.*** - 40,0.0,2010-05-28,"viela de sales, 435
monsenhor messias
41634-301 cardoso / rs",monsenhor messias,RS
Sr. Erick Teixeira,725.***.*** - 30,0.0,2015-12-04,"viaduto de almeida, 19
são gabriel
56450219 borges grande / am",são gabriel,AM
João Miguel Da Conceição,704.***.*** - 74,0.0,2014-03-21,"vereda ribeiro, 41
santa cruz
68563236 macedo / pe",santa cruz,PE
Anthony Pastor,294.***.*** - 85,-1.0,2016-09-15,"área de rodrigues
alípio de melo
50500-983 aragão / mg",alípio de melo,MG
Dr. Vitor Farias,360.***.*** - 86,-1.0,2004-10-11,"vale de caldeira, 28
santa rosa
91974648 sales de viana / pa",santa rosa,PA
,269.***.*** - 60,0.0,2019-05-31,Desconhecido,maria virgínia,MA
Lorena Da Conceição,032.***.*** - 32,0.0,2014-07-17,"praia alves, 31
vila atila de paiva
95434642 aragão / am",vila atila de paiva,AM
Gabriel Caldeira,562.***.*** - 65,0.0,2014-01-02,"conjunto peixoto, 58
marçola
84320-659 nunes da serra / es",marçola,ES
Srta. Allana Das Neves,280.***.*** - 68,-1.0,2012-11-27,"residencial de montenegro, 2
santa tereza
31225-373 sales / go",santa tereza,GO
Dra. Heloisa Rodrigues,982.***.*** - 01,0.0,2016-10-03,"passarela joão vitor da cruz, 484
santa lúcia
49991424 fogaça / rn",santa lúcia,RN
Manuela Azevedo,517.***.*** - 20,-1.0,2016-12-15,"vale giovanna albuquerque, 582
bela vitoria
54464-143 campos / se",bela vitoria,SE
Benício Da Rocha,874.***.*** - 83,0.0,2017-05-04,"sítio de macedo, 20
capitão eduardo
18429203 guerra das flores / mg",capitão eduardo,MG
Isabela Vargas,182.***.*** - 90,0.0,2015-04-14,"praia danilo cirino, 57
maria virgínia
80261-040 correia / ac",maria virgínia,AC
Sr. Samuel Teixeira,510.***.*** - 80,-1.0,2004-12-11,"sítio dante das neves, 2
diamante
32829489 garcia verde / pe",diamante,PE
Aylla Alves,029.***.*** - 79,-1.0,2016-09-24,"morro marina jesus, 356
flavio de oliveira
67829-955 cirino / ma",flavio de oliveira,MA
Dra. Ana Vitória Camargo,410.***.*** - 05,-1.0,2007-10-17,Endereço inválido,Desconhecido,Desconhecido
Heloisa Jesus,758.***.*** - 75,0.0,2010-08-08,"estação de mendes
jardim são josé
14725613 almeida / rj",jardim são josé,RJ
Arthur Barros,391.***.*** - 99,0.0,2009-04-07,"viela de pereira, 21
embaúbas
53844-863 novaes / pa",embaúbas,PA
Maria Julia Da Paz,026.***.*** - 96,0.0,2011-03-24,"lago de melo, 820
são tomaz
65774-238 monteiro / am",são tomaz,AM
Ana Liz Alves,349.***.*** - 05,0.0,2019-02-28,Endereço inválido,Desconhecido,Desconhecido
Brenda Casa Grande,123.***.*** - 19,-1.0,2013-12-26,"núcleo sabrina gomes, 202
saudade
26864449 sousa de souza / ap",saudade,AP
Gael Brito,138.***.*** - 70,0.0,2018-03-18,"conjunto alves
jardim montanhês
08686-706 da cruz grande / mt",jardim montanhês,MT
Beatriz Cirino,289.***.*** - 03,0.0,2010-01-10,"vila araújo, 1
estrela do oriente
90512-856 da mata / go",estrela do oriente,GO
Enzo Araújo,538.***.*** - 84,0.0,,"rodovia miguel dias, 24
ademar maldonado
61659-863 alves / ms",ademar maldonado,MS
Isabela Almeida,091.***.*** - 50,0.0,2019-07-03,"pátio de pimenta, 69
jardim alvorada
25142-336 caldeira da praia / ce",jardim alvorada,CE
Luiza Silveira,237.***.*** - 50,0.0,2018-06-15,Endereço inválido,Desconhecido,Desconhecido
Maria Isis Sampaio,049.***.*** - 42,0.0,2006-05-01,"esplanada maria júlia alves, 21
vila do pombal
61725926 das neves / pi",vila do pombal,PI
Theo Costa,193.***.*** - 70,-1.0,2005-09-09,"alameda alexandre fogaça, 17
vila calafate
78010-419 lima / ba",vila calafate,BA
João Lucas Martins,986.***.*** - 24,-1.0,2014-09-20,"residencial cavalcanti, 892
mangueiras
14269-211 da cunha / ma",mangueiras,MA
Matheus Da Mata,193.***.*** - 07,-1.0,2016-11-27,"praia de rodrigues
pilar
73464-820 da rocha dos dourados / df",pilar,DF
Dra. Maya Azevedo,579.***.*** - 28,0.0,2018-02-05,"vila pacheco, 983
vila bandeirantes
79449-065 marques / ap",vila bandeirantes,AP
Maria Julia Moura,923.***.*** - 25,0.0,2006-12-06,"vereda de cassiano, 49
universo
76056501 machado de azevedo / mt",universo,MT
Davi Lucas Montenegro,734.***.*** - 80,0.0,2014-11-04,Desconhecido,ademar maldonado,MA
Eloah Teixeira,204.***.*** - 70,0.0,2011-03-16,"colônia fernandes
estrela
56766-501 viana / ms",estrela,MS
Eloah Costela,278.***.*** - 76,0.0,2017-02-25,"rua de ribeiro
tirol
35200-216 teixeira das pedras / al",tirol,AL
Dr. Luan Abreu,086.***.*** - 56,-1.0,2007-12-16,"aeroporto vieira, 26
flamengo
48967-362 pereira de goiás / sp",flamengo,SP
Helena Da Conceição,408.***.*** - 30,0.0,2005-04-13,"jardim kaique sales, 6
suzana
96048-015 porto de aragão / se",suzana,SE
Davi Lucca Sales,280.***.*** - 04,-1.0,2007-11-21,"feira de melo, 8
pousada santo antonio
55436-153 aragão / mt",pousada santo antonio,MT
Raquel Fogaça,721.***.*** - 19,0.0,2006-03-20,Desconhecido,vila madre gertrudes 1ª seção,PB
,574.***.*** - 19,0.0,2011-02-26,"viela alves, 84
vila canto do sabiá
69580085 duarte / ro",vila canto do sabiá,RO
Ísis Albuquerque,830.***.*** - 39,0.0,2018-08-10,"passarela da paz, 86
urca
02615-670 silva / ce",urca,CE
Ayla Farias,309.***.*** - 99,0.0,2012-07-07,"rua sarah garcia, 14
vila da amizade
84119-830 oliveira / am",vila da amizade,AM
,143.***.*** - 60,0.0,2015-01-10,Desconhecido,vila jardim montanhes,DF
Olivia Viana,068.***.*** - 35,-1.0,2017-12-12,"campo augusto peixoto, 71
conjunto jatoba
15439421 mendonça / ap",conjunto jatoba,AP
Carolina Da Luz,824.***.*** - 04,0.0,2014-05-27,"vale castro, 70
pantanal
88222613 fonseca / pr",pantanal,PR
Rafaela Moraes,658.***.*** - 47,0.0,2018-02-17,"avenida de cardoso
esplanada
81772-508 aragão dos dourados / ro",esplanada,RO
Lucca Câmara,905.***.*** - 25,0.0,2012-05-15,Endereço inválido,Desconhecido,Desconhecido
,465.***.*** - 07,-1.0,2017-09-29,"praça theodoro fernandes
castelo
34903-010 da mata da mata / pr",castelo,PR
Anthony Martins,430.***.*** - 38,0.0,2006-07-19,"chácara ryan siqueira, 4
solimoes
98259-113 souza verde / pr",solimoes,PR
Arthur Miguel Freitas,394.***.*** - 50,0.0,2007-07-21,"trevo da rocha, 62
grota
27237-887 gonçalves / mt",grota,MT
Sr. João Gabriel Teixeira,791.***.*** - 61,0.0,2005-08-06,"alameda da mota, 773
santa monica
08686170 teixeira do campo / rn",santa monica,RN
Jade Garcia,039.***.*** - 32,0.0,,"lagoa de andrade, 13
taquaril
78750-059 santos / pi",taquaril,PI
Dr. Théo Campos,136.***.*** - 31,0.0,2016-03-27,"trevo costela, 18
santa rosa
28359345 moraes / pi",santa rosa,PI
Maria Luiza Marques,162.***.*** - 03,-1.0,2010-10-21,"parque cardoso, 42
engenho nogueira
50747465 sousa do norte / rn",engenho nogueira,RN
Sr. Juan Vargas,617.***.*** - 07,-1.0,2010-09-30,Endereço inválido,Desconhecido,Desconhecido
Levi Nascimento,137.***.*** - 00,0.0,2009-06-04,Desconhecido,barão homem de melo 1ª seção,GO
Apollo Rezende,124.***.*** - 06,0.0,2005-01-25,"setor de moraes, 6
vila da luz
15817-396 santos de novaes / pr",vila da luz,PR
Rafael Novaes,916.***.*** - 13,0.0,,"trecho freitas, 4
jatobá
03664014 cardoso verde / sp",jatobá,SP
Dra. Maria Luísa Da Conceição,615.***.*** - 49,0.0,2019-01-20,"campo aylla câmara, 521
vila das oliveiras
96245-251 martins / ro",vila das oliveiras,RO
Srta. Gabriela Ferreira,103.***.*** - 59,-1.0,2011-12-20,"avenida de correia, 3
cdi jatoba
51239-586 da cruz / rj",cdi jatoba,RJ
Raul Campos,723.***.*** - 64,0.0,2016-04-28,Endereço inválido,Desconhecido,Desconhecido
Eloá Rodrigues,752.***.*** - 21,0.0,2012-08-24,"estação mendonça, 27
custodinha
45897783 lima / mg",custodinha,MG
Arthur Martins,841.***.*** - 31,0.0,2014-01-09,"vereda yasmin souza, 1
glória
21700812 oliveira / al",glória,AL
Sr. Levi Duarte,230.***.*** - 08,0.0,2015-07-18,Endereço inválido,Desconhecido,Desconhecido
Dra. Sara Siqueira,680.***.*** - 10,0.0,2010-03-02,"via de cardoso, 20
vila maria
96960609 oliveira / sc",vila maria,SC
Larissa Nunes,761.***.*** - 07,-1.0,2017-10-25,"viela de silva, 4
esplanada
87632530 da mata / rn",esplanada,RN
Ana Liz Castro,615.***.*** - 77,0.0,2011-02-16,"viela jesus, 41
bernadete
03498479 monteiro do sul / sp",bernadete,SP
Luiza Fernandes,879.***.*** - 64,-1.0,2017-11-09,"área stephany rocha, 80
gameleira
93753-180 carvalho de cassiano / go",gameleira,GO
Julia Brito,750.***.*** - 71,0.0,2014-02-10,Desconhecido,nossa senhora do rosário,BA
Maria Laura Da Rosa,172.***.*** - 77,0.0,2016-02-08,Desconhecido,são joão,PR
Pedro Miguel Vasconcelos,862.***.*** - 96,0.0,,"distrito peixoto, 384
maria virgínia
80039-555 sousa / ac",maria virgínia,AC
Nicolas Vargas,285.***.*** - 12,0.0,2010-02-24,"aeroporto da rosa
santa helena
65274-782 ramos / ma",santa helena,MA
Heloísa Garcia,879.***.*** - 85,0.0,2015-07-02,"pátio de brito, 261
jardim alvorada
01970660 dias da serra / mg",jardim alvorada,MG
Leonardo Macedo,829.***.*** - 82,0.0,2008-02-08,"passarela esther fernandes
paquetá
60284474 da luz de da cruz / pb",paquetá,PB
Dra. Alícia Da Mota,526.***.*** - 34,0.0,2013-04-05,"residencial de novaes, 83
nova granada
98088909 da mota / rj",nova granada,RJ
Isabella Cavalcanti,302.***.*** - 17,0.0,2013-08-07,"praça thomas viana, 7
vila puc
83040796 teixeira de da conceição / ba",vila puc,BA
,298.***.*** - 60,0.0,,Desconhecido,novo das industrias,RS
Maria Flor Machado,610.***.*** - 03,0.0,,"favela lopes, 77
nova floresta
72224-070 gomes da mata / rj",nova floresta,RJ
Beatriz Marques,790.***.*** - 47,-1.0,2018-09-12,Endereço inválido,Desconhecido,Desconhecido
Luna Vasconcelos,092.***.*** - 87,0.0,2018-04-05,"viaduto de lima, 37
taquaril
29747-528 martins / es",taquaril,ES
Heloísa Barbosa,036.***.*** - 00,0.0,2012-07-16,Desconhecido,floramar,RR
Davi Lucca Peixoto,907.***.*** - 77,-1.0,2010-11-30,"viela de casa grande
vitoria
09938380 costa / to",vitoria,TO
Nina Rios,037.***.*** - 60,0.0,2010-07-25,"vila barbosa, 96
conjunto providencia
01044-266 albuquerque / rj",conjunto providencia,RJ
Joaquim Camargo,742.***.*** - 79,0.0,2012-02-07,"vereda enzo gabriel novaes, 502
grota
51387-738 câmara / ce",grota,CE
Miguel Porto,275.***.*** - 65,0.0,2008-02-21,"pátio de correia, 77
mantiqueira
87154557 sá / es",mantiqueira,ES
Vinícius Oliveira,728.***.*** - 04,0.0,2016-02-29,"quadra theodoro aparecida
vitoria
45217934 pimenta dos dourados / df",vitoria,DF
Srta. Luna Correia,105.***.*** - 23,-1.0,2013-11-08,"distrito maria luísa marques, 40
urca
71247535 andrade de costa / sc",urca,SC
,964.***.*** - 38,-1.0,2017-10-10,"viaduto otávio duarte, 61
marajó
08959-126 casa grande / rj",marajó,RJ
